song,artist,length
Let's Spend The Night Together (1999 Digital Remaster),David Bowie,189.98812
Mr. Man,Gov't Mule,258.14159
FFT (The Good_ The Bad_ And The Ugly Album Version),Huntingtons,65.85424
Come Away With Me,Kathy Mattea,225.59302
Frijolero,Molotov,210.07628
Moon Baby,Godsmack,265.9522
Trunk,Kings Of Leon,237.26975
Fade To Black,Metallica,415.16363
Oliver'S Army,Raimundos,131.05587
Bleed It Out [Live At Milton Keynes],Linkin Park,494.99383
Confrontation,Damian Marley / Bunny Wailer,329.06404
Caldonia,Mos Def,188.86485
La Valse D'AmÃÂ©lie (Version Orchestre),Yann Tiersen,120.39791
Everybody Needs A 303,Fatboy Slim,221.51791
Masterpiece (Album Version),Meg & Dia,209.26649
Wordy Rappinghood,Chicks On Speed,263.13098
Goodnight Bad Morning,The Kills,231.91465
Something (Album Version),Jaci Velasquez,200.95955
Yellow,Coldplay,268.38159
Love And Affection,Clannad,299.62404
Gone Going,Black Eyed Peas,193.88036
My Immortal (bonus),Evanescence,273.37098
Interlude #1 (Mama),The Mossie,147.19955
Draw Me Close,Michael W. Smith,254.79791
On Top,The Killers,258.89914
Some Kind Of Wonderful (Non-Album Track),Michael BublÃÂ©,184.94649
Sehr kosmisch,Harmonia,655.77751
Honey,Bobby Goldsboro,238.602
Suzy Q,Creedence Clearwater Revived,297.87383
Robotique Majestique (Album),Ghostland Observatory,301.13914
My Moon My Man,Feist,184.94649
Follow Me (Explicit LP Version),Uncle Kracker,216.08444
Listen To Your Heart (Cologne),Per Gessle,192.67873
8th Of November (Album Version) (w/o Intro),Big & Rich,298.23955
The Writing On My Fathers Hand,Dead Can Dance,230.05995
SinceritÃÂ© Et Jalousie,Alliance Ethnik,195.94404
#40,DAVE MATTHEWS BAND,109.50485
Ay Mi Palomita (1997 Digital Remaster),Victor Jara,105.58649
Get Up Off Your Fat,Rose Royce,275.9571
Who Was It (Demo Version Of 'EMI'),Sex Pistols,194.63791
The fluke,Devin Townsend,436.40118
BorivÃÂ³knak valÃÂ³,Szarka Gyula,243.53914
I'm Not Down,The Clash,186.06975
Blood On The Motorway,DJ Shadow,549.56363
Lemonade,Beck,139.59791
Misty,Johnny Mathis,140.93016
Our Filmscore,Nicolai Dunger,163.65669
Leave It All To Me (Theme from iCarly),Miranda Cosgrove featuring Drake Bell,161.04444
Papua New Guinea,The Future Sound of London,405.28934
Sehr kosmisch,Harmonia,655.77751
Welcome To The Black Parade (Album Version),My Chemical Romance,311.11791
Move Bitch,Disturbing Tha Peace / Ludacris / Mystikal / I-20,276.4273
Playback,Carlos PaiÃÂ£o,185.99138
Show Love,Snowgoons,239.28118
Born To Be Blue,Steve Miller,325.22404
My Sacrifice,Creed,295.3922
Untitled (Figures),Max Richter,208.40444
Geek In The Pink (Album Version),Jason Mraz,235.49342
You're No Good,Betty Everett,139.67628
Beautiful Stranger,Madonna,260.75383
Santa Monica,Theory Of A Deadman,246.54322
Ain't No Way (You Won't Love Me),Chris Brown,203.80689
Dust in The Wind,Kansas,202.29179
What A Great Day,Lacksley Castell,543.7122
Seven Nation Army (Album Version),The White Stripes,231.81016
Damn I Wish I Was Your Lover,Sophie B. Hawkins,323.39546
En Dag Tilbage,Nik & Jay,267.49342
Don't Worry Be Happy,Bobby McFerrin,291.60444
Arson,Amon Amarth,407.84934
P.N.C. (LP Version),Smif-n-Wessun,325.72036
The Trance Is The Motion [Live],Static-X,266.47465
Shake Ya Ass,Mystikal,254.98077
All Power To Slaves,CKY,208.24771
Constantly Under Surveillance,This is a Process of a Still Life,396.12036
Sex Sux (Amen) (Album),Vaselines,189.98812
Vargavinter,Thyrfing,178.6771
La Flor De Mis Heridas,Bersuit Vergarabat,259.63057
After An Afternoon (Eagles Ballroom Live Version),Jason Mraz,226.53342
Province,TV On The Radio,275.87873
Wax on Tha Belt (Baby G Gets Biz),Mad Flava,35.81342
The Choice Is Yours,Black Sheep,203.15383
Tonight She Comes (LP Version),The Cars,234.65751
Yippiyo-Ay,The Presets,271.85587
Lucifer (The Final Combination Mix),Obk,377.15546
Sun / C79,Cat Stevens,275.87873
Creature Fear,Bon Iver,186.122
Monster,Lady GaGa,249.20771
Feels Like Love,Vince Gill,255.81669
Hands Open,Snow Patrol,195.21261
One More Goodbye,The Randy Rogers Band,254.58893
Don't Cry For Me Argentina,Joan Baez,193.17506
Turnin' Me On,Natalie,227.36934
You're The One,Dwight Yoakam,239.3073
Deception,Blackalicious,276.92363
Bang! Bang!,The Knux,200.25424
Born On The Bayou,Creedence Clearwater Revival,315.42812
Act Naturally (Album Version),Leon Russell,185.73016
Changed My Mind,Iration,208.24771
Jamaica Roots II(Agora E Sempre),Natiruts,210.88608
From Blown Speakers,The New Pornographers,169.24689
Head Full Of Doubt/Road Full Of Promise,The Avett Brothers,287.97342
Someone Like You,Dina Carroll,203.20608
Holy One,Rush Of Fools,219.66322
Lydia,Morten Abel,217.44281
Loneliness,Tomcraft,471.45751
Undo,BjÃÂ¶rk,348.57751
Heartbeats,JosÃÂ© Gonzalez,158.48444
The Stallion,Ween,276.13995
The Real Slim Shady,Eminem,284.86485
If We Try Again,Robbie Dupree,273.68444
The E Flat Reel/The Recluse/James D Law/,Natalie MacMaster,186.80118
My Ride,Jeremih,220.55138
Paint The Rust,The Dodos,374.69995
Como Un SueÃÂ±o (Am I Dreaming),Kat DeLuna,239.43791
Tie The Rope (Album Version),The Format,199.83628
Awakening,Molotov Solution,221.962
All Star,Smash Mouth,216.39791
Insozzz ...,And Then There Were None,259.26485
Broken Hearts_ Torn Up Letters And The Story Of A Lonely Girl,Lostprophets,244.03546
Crumpshit,Philippe Rochard,360.51546
Favorite Song,Superlitio,247.92771
Your Star,The All-American Rejects,260.77995
ReprÃÂ©sente,Alliance Ethnik,252.21179
Robotronic,Turing Machine,522.762
Calypso War,Mighty Terror & His Calypsonians,137.84771
Words Vs Wisdom,Butterfingers,341.75955
Tu Eres,NB Ridaz,234.21342
It Wasn't Me,Shaggy / Ricardo Ducent,226.76853
You'll Never Find Another Love Like Mine (Album Version),Michael BublÃÂ©,244.21832
Sit in the Middle of Three Galloping Dogs,Silver Mt. Zion,308.53179
Chin Up,Copeland,199.07873
Californication (Album Version),Red Hot Chili Peppers,321.82812
The Reasons (Album Version),P.O.D.,224.67873
I Like That,Richard Vission & Static Avanger Starring Luciana,375.43138
Nights Like This,After 7,241.94567
Nostrand,Ratatat,184.0322
Cherish The Day,Sade,332.12036
Song For Guy,Elton John,417.01832
Gamblers,Lewis Black,111.80363
Coffee With Manni,Acoustic Alchemy,169.1424
Lady,Stryper,295.70567
Undo,BjÃÂ¶rk,348.57751
Please Don't Do This (Album),Plain White T S,180.11383
Feeling This,Blink-182,173.76608
Just Lose It,Eminem,248.58077
Kokoro - Angel Heart (album mix),Original Love,337.76281
Beautiful Ending (Album),BarlowGirl,258.40281
Phantom Of The Opera,Me First And The Gimme Gimmes,105.1424
Careless Whisper,George Michael,302.602
Lucy in the Sky With Diamonds (feat. Frankie Paul),Easy Star All-Stars,272.50893
Birds,Linda Ronstadt,181.7073
Cosmic Love,Florence + The Machine,258.55955
Sextape (Album Version),Deftones,241.52771
No Usemos Ropa Hoy,Los Concorde,223.7122
Fight,Early Man,201.32526
Fuck Kitty,Frumpies,134.47791
Talk To Your Daughter (Album Version),Robben Ford,250.53995
To The Fairies They Draw Near,Loreena McKennitt,52.00934
Los Salieris De Charly,LeÃÂ³n Gieco,361.27302
Sinisten tÃÂ¤htien alla,J. Karjalainen & Mustat Lasit,336.74404
Yeah! New York,Yeah Yeah Yeahs,125.20444
Here Without You,3 Doors Down,237.13914
Rock The Casbah,The Clash,221.6224
Updated & Still Hated (The Ball Point Composer Album Version),Freddie Bruno,230.21669
Everything Means Nothing To Me,Elliott Smith,146.15465
Behind The Sea [Live In Chicago],Panic At The Disco,259.29098
Fix You,Coldplay,294.1122
Dirt Road Anthem (feat. Brantley Gilbert),Colt Ford,222.04036
What Makes A Man,City And Colour,208.43057
R.I.P. Burn Face,Cocorosie,280.24118
Who Can Compare,Foolish Things,266.86649
Walking On Sunshine,Katrina & The Waves,220.9171
Something in the Way (Album version),Tricky,204.14649
Uptown Invisible,Moose,215.17016
SÃÂ¤g ingenting till mig,Melissa Horn,211.33016
Wake Up,Fergie,396.12036
Glad All Over,Terrorvision,160.54812
What A Meeting In The Air (Atlanta Homecoming Album Version),David Phelps,291.47383
No Wow,The Kills,287.65995
Don't Wanna Lose You,Lionel Richie,301.68771
Angie (1993 Digital Remaster),The Rolling Stones,271.49016
Pulk/Pull Revolving Doors,Radiohead,246.96118
Raining in September,Rufio,36.33587
Godine prolaze,Bajaga & Instruktori,254.95465
Reason I'm Alive (Explicit),Drowning Pool,229.35465
Such Great Heights,The Postal Service,266.47465
All Summer Long (Album Version),Kid Rock,296.95955
Shout,Tears For Fears,290.89914
paranoid android,Christopher O'Riley,337.91955
Folkin' Around [Live In Chicago],Panic At The Disco,114.31138
I Remember,Deadmau5 & Kaskade,595.56526
What Do I Do With My Heart,Eagles,234.31791
The Scientist,Coldplay,311.27465
Sinisten tÃÂ¤htien alla,J. Karjalainen & Mustat Lasit,336.74404
Concorde,Amaral,220.81261
Boom (Album Version),Flight Of The Conchords,137.482
Video Killed The Radio Star,The Buggles,198.08608
Found Home,59 Times the Pain,144.95302
Roadside,Rise Against,201.01179
Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,277.15873
Canada,Five Iron Frenzy,236.09424
Cash Still Rules/Scary Hours (still don't nothing move but the money),Wu-Tang Clan,181.60281
Uncle Jonny,The Killers,265.84771
Reptilia,The Strokes,219.81995
Littlest Things,Lily Allen,181.26322
Old School Rules (Album Version),Danger Doom,160.36526
Where You From?,RinÃÂ´ÃÂ§ÃÂ©rÃÂ´se / Mark Gardener,215.09179
I Could Sing Of Your Love Forever,Sonicflood,213.99465
Use Somebody,Kings Of Leon,231.26159
Stuck With You,Huey Lewis And The News,269.63546
Home,Edward Sharpe & The Magnetic Zeros,306.31138
Jack Explode,Stefano Prada feat. Mike Marfurt,302.13179
Float On,Modest Mouse,209.52771
Jesus_ Etc.,Wilco,239.98649
This Cowboy Song,Sting,299.96363
Swing Javanaise,Anis,246.59546
Secrets,OneRepublic,224.67873
Intergalactic,Beastie Boys,209.81506
"Prelude (""The World is In Fear Again and It Has All Been Manufactured"")",Kiss the Anus of a Black Cat,151.97995
Nada De Ti,Paulina Rubio,213.55057
Neon Bible,Arcade Fire,136.69832
Think Of You,A Fine Frenzy,245.52444
Up Up & Away,Kid Cudi,227.34322
I Kissed A Girl,Katy Perry,179.40853
Moondance (Album Version),Michael BublÃÂ©,253.88363
Mr Vain,Culture Beat,257.43628
Walcott (Album),Vampire Weekend,221.64853
Orange Alert (DFA Remix),Metro Area,339.27791
Dog Days Are Over (Radio Edit),Florence + The Machine,219.66322
Roquefort (with Empire Horns),Karnivool,289.30567
Sylvia Plath,Ryan Adams,250.06975
When It Rains (Album Version),Paramore,215.09179
Let's Play House,Ray J,234.26567
Never Saw It Coming,Hoobastank,199.67955
Robot Soul (Radio Edit),Cosmo Vitelli,206.05342
Hateful,The Clash,164.04853
 I Will Not Reap Destruction,We Came As Romans,238.13179
Last Cup Of Sorrow,Faith No More,249.86077
It's My Party,Lesley Gore,134.37342
Hey There Delilah,Plain White T's,232.202
Do You Really Want To Hurt Me (2002 Digital Remaster),Culture Club,264.69832
Rhapsody In Blue,Richard Clayderman,303.80363
Teach Me How To Dougie,California Swag District,239.17669
Cotton Eye Joe (Explicit),Red Nex,194.01098
Un Dia Gris,Paulina Rubio,174.31465
3,Britney Spears,213.28934
Almaz,Randy Crawford,270.75873
Love Pipe,Red Elvises,207.04608
Fast Cars,U2,206.88934
Stray Cat Strut,The Stray Cats,355.39546
Hanalei Bay,Govi,302.47138
Learned Your Name,Frightened Rabbit,159.76444
Tunnel Of Love,Bruce Springsteen,311.66649
Never Know,Jack Johnson,212.87138
Marciano (I Turned Into A Martian),Molotov,248.65914
Jesus He Knows Me (2007 Digital Remaster),Genesis,256.54812
Move Along,The All-American Rejects,239.22893
Love Song For No One,John Mayer,201.56036
Mistica,Orishas,265.53424
How 'Bout It,Bobby Valentino,228.46649
Fireworks,Animal Collective,410.90567
harbor,Kaddisfly,275.27791
El mismo hombre,Revolver,318.87628
Shooting Stars,Bag Raiders,232.85506
Servant Of Death's Head,Dave Brockie Experience,116.08771
Can't Cry These Tears,Garbage,255.58159
Stand By Me (LP Version),Ry Cooder,223.97342
Fake Tales Of San Francisco,Arctic Monkeys,177.94567
Undo,BjÃÂ¶rk,348.57751
La Sin RazÃÂ³n,La Vela Puerca,183.19628
No Envy No Fear,Joshua Radin,202.44853
Punk Rock 101,Bowling For Soup,188.31628
The Only Exception (Album Version),Paramore,267.65016
Starz In Their Eyes,Just Jack,295.91465
Hide & Seek,Imogen Heap,509.36118
Shelter,Ray LaMontagne,276.87138
You're Beautiful,Phil Wickham,293.72036
Until The End Of Time,Justin Timberlake duet with Beyonce,322.16771
The Nation,Freeway,22.12526
Playground Love,Air,212.21832
Rikkalicious ,HervÃÂ© & Kissy Sellout,341.41995
Aum Aum,OV7,222.79791
Rats In The Cellar,Aerosmith,248.00608
Rhythm Of The Night,DeBarge,234.03057
From This Day Forward,Kevin Kern,291.29098
Blue Kiss,Jane Wiedlin,207.12444
Lost Cause,Beck,228.80608
CoraÃÂ§ÃÂ£o Vagabundo,Ana CaÃÂ±as,279.50975
Red October,Lange,305.84118
Fever,BeyoncÃÂ©,271.82975
Ramble On,Train,278.04689
Baby I'm Just A Fool,Spiritualized,427.31057
Revenga,System of a Down,228.0224
Monster,Lady GaGa,249.20771
"Phony Calls (Parody of ""Waterfalls"" by TLC)",Weird Al Yankovic,202.63138
Home,Edward Sharpe & The Magnetic Zeros,306.31138
Deathzone,Apocalyptica,275.25179
The Feel Good Drag,Anberlin,204.32934
Whispers In The Dark (Radio Edit),Skillet,193.25342
Somebody To Love,Justin Bieber,220.89098
Kassie Jones (Casey Jones),Furry Lewis,178.05016
Heart Cooks Brain,Modest Mouse,243.17342
Conroy,Cake,181.36771
Third Degree,Eddie Boyd,196.362
Voodoo Doll,Fergie,263.05261
Walk Through Hell (featuring Max Bemis Acoustic Exclusive),Say Anything,208.77016
Rapture at Sea,Eastern Sun and John Kelley,457.50812
I Wish,Najee,232.4371
Droomland (duet met Paul de Leeuw),Andre Hazes,206.70649
Kryptonite,3 Doors Down,233.74322
Nausea,Ultra Vivid Scene,196.93669
I'm A Lady [feat. Trouble Andrew],Santigold,225.35791
Bleed It Out [Live At Milton Keynes],Linkin Park,494.99383
From The Ritz To The Rubble,Arctic Monkeys,193.43628
Vanilla Twilight,Owl City,231.67955
It's Christmas So We'll Stop,Frightened Rabbit,327.20934
I Think I'll Live,Charlie Louvin,170.86649
Yeah!,Usher Featuring Lil' Jon & Ludacris,250.38322
Monday Morning Cold (band),Erin McKeown,332.85179
Kryptonite,3 Doors Down,233.74322
Once Britten,Koop,247.562
Crazy Bitch (Album Version),Buckcherry,201.79546
Citizen/Soldier,3 Doors Down,232.88118
Somebody To Love,Justin Bieber,220.89098
Lettera Da Volterra,Simone Cristicchi,144.53506
Marry Me,Train,205.45261
El Burrito,Yerba Buena,236.77342
Amame,Juanes,259.63057
Terre Promise,O'Rosko Raricim,90.56608
Perhaps Vampires Is A Bit Strong But...,Arctic Monkeys,268.45995
It's Tricky,RUN-DMC,182.77832
And The Hero Will Drown (Album Version),Story Of The Year,191.11138
Wild World,Cat Stevens,200.202
Fake Tales Of San Francisco (Explicit),Arctic Monkeys,177.84118
Sin SoluciÃÂ³n,Antonio Vega,135.13098
In The Dragon's Den,Symphony X,238.54975
Hey_ Soul Sister,Train,216.76363
Train Round The Bend (LP Version),The Velvet Underground,202.762
My Doorbell (Album Version),The White Stripes,241.8673
Hearts Collide (album version),Little Boots,225.20118
Less Than Lovers,Flora Purim,306.99057
Strut (1993 Digital Remaster),Sheena Easton,239.62077
The Dream Is Over,Story Of The Year,232.46322
Jump In The Pool,Friendly Fires,217.02485
Pequeno Grande Amor,Papas Da LÃÂ­ngua,222.17098
Losing Touch,The Killers,253.70077
Soul On Fire (Drum Majorz Club Remix) (Feat. Beenie Man),KMC Featuring Beenie Man,264.80281
Crosshairs,Dangerdoom,146.85995
A Gift For Melody Anne,The Avett Brothers,244.61016
Fireworks (LP Version),Dave Attell,66.55955
I?'m A Steady Rollin? Man,Robert Johnson,154.09587
Working With Homesick,Homesick James,199.65342
Nrrrd Grrrl,Mc Chris,149.99465
American Love (Album Version),Jack's Mannequin,223.21587
Cartoon Heroes,Aqua,218.48771
Stadium Love,Metric,252.99546
Escape,Enrique Iglesias,208.5873
Fell In Love Without You (Acoustic),Motion City Soundtrack,205.26975
The Thousand Names of Lord Shiva (Part 1),Ticanaf,2594.87302
Dance Like Michael Jackson,The Far East Movement,228.20526
You're A Cad,the bird and the bee,189.51791
Inevitable,Shakira,193.82812
Argue (LP Version),matchbox twenty,177.65832
I'm On A Boat,The Lonely Island / T-Pain,156.23791
All We Ever Do Is Say Goodbye,John Mayer,275.27791
Gun Shy (LP Version),10_000 Maniacs,251.8722
Forgive Me,Leona Lewis,203.88526
La Mer,Nine Inch Nails,277.83791
I Am The Highway,Audioslave,334.91546
All Summer Long (Album Version),Kid Rock,296.95955
I Do You,The Jets,220.89098
(iii),The Gerbils,27.01016
Still Searching,Damian Marley / Stephen Marley / Yami Bolo,304.69179
Warp 1.9 (feat. Steve Aoki),The Bloody Beetroots,201.97832
Rat Race,The Specials,188.81261
Walkin' The Board (LP Version),The Lively Ones,142.52363
Blues In The Night,Katie Melua,252.78649
I'm Yours (Album Version),Jason Mraz,243.48689
Rianna,Fisher,133.98159
No Christmas For Me,Zee Avi,160.62649
I Gotta Feeling,Black Eyed Peas,289.12281
Sunny Road,Emiliana Torrini,184.29342
The Down Town,Days Of The New,258.5073
To All The Girls I've Loved Before (With Julio Iglesias),Julio Iglesias duet with Willie Nelson,212.16608
Lucky (Album Version),Jason Mraz & Colbie Caillat,189.6224
The World's Greatest,R. Kelly,234.39628
Le Jardin d'Hiver,Jacky Terrasson,342.7522
Alive,Papa Roach,202.1873
Casino Royale Theme (Main Title),Burt Bacharach,156.96934
Sunshine,Floetry,254.48444
Leave The City And Come Home,The Rakes,225.2273
You're The One,Dwight Yoakam,239.3073
Voodoo Lady,Ween,228.10077
La Lola,CafÃÂ© Quijano,197.32853
Good Bye Emily (feat. Gabriella Hanninen),Parov Stelar,203.65016
I Will Always Return,Bryan Adams,166.29506
White Bird,KT Tunstall,192.31302
Turn Away,Technicolour,235.12771
Lost In The Plot,The Dears,289.95873
Never Let Them See You Sweat,Go West,259.49995
Mi Princesa,Gondwana,262.5824
On Green Dolphin Street (Medley) (1999 Digital Remaster),Ella Fitzgerald,427.15383
Run Through The Jungle,Creedence Clearwater Revival,184.73751
Read My Mind,The Killers,246.80444
Officially Missing You (Radio Version),Tamia,243.09506
Almaz,Randy Crawford,270.75873
Fuck Kitty,Frumpies,134.47791
Girlfriend,Julia Fordham,279.50975
Unknown Brother,The Black Keys,239.59465
Battleship Chains (LP Version),Georgia Satellites,178.88608
Paper Planes,M.I.A.,206.13179
Prince Caspian,Phish,319.29424
With A Smile On Your Face And A Frown In Your Heart,Dislocation Dance,122.87955
Strange Times,The Black Keys,238.62812
Have A Little Faith In Me,John Hiatt,242.442
Watching The Detectives,Elvis Costello,226.0371
Death Letter Blues (Live),Son House,239.38567
She Bop,Cyndi Lauper,231.81016
Paris Ailleurs (Live 1992),ÃÂtienne Daho,231.3922
Cry of the Brave,Dragonforce,345.5473
Savior,Rise Against,242.25914
Mia,Emmy The Great,204.79955
Use Somebody,Kings Of Leon,231.81016
Unholy Confessions,Avenged Sevenfold,283.76771
Te Quiero A Ti,A.B. Quintanilla III Y Los Kumbia Kings,196.77995
Only Superstition,Coldplay,228.62322
Nothin' On You [feat. Bruno Mars] (Album Version),B.o.B,269.63546
Baptism,Crystal Castles,252.89098
Mr Therapy Man,Justin Nozuka,213.62893
Sister Gypsy,Blackmore's Night,201.40363
Fountains And Tramways,Beirut,239.0722
End Of The Day,Beck,304.50893
Fake Tales Of San Francisco (Explicit),Arctic Monkeys,177.84118
